id,APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests,correct source-code paths,consequences_details
121,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,insufficient history management,case1,Relevant memory is essentially a duplicate of the conversation（enhancement）,IC,"scripts/agent_manager.py
scripts/chat.py","1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh run --help "" to start AutoGPT.
3.Set up a task.
4.Allow AutoGPT to process the task. Wait for a while, check if Auto-GPT loses track of what it's done in the past and starts to repeat actions.","['scripts/agent_manager.py', 'scripts/chat.py']",['incorrectness']
122,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,missing llm input format validation,/,"
UTF8 files unsupported",IC,scripts/file_operations.py/read_file(),"1.Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT.
(Prompts:
ai_goals:
- Read project-plan-form.htm file 
- Fill project-plan-form.htm for and idea with flying monkeys
ai_name: DocWritter
ai_role: Fill in a doc using a file template)
3.Authorize and wait for the result of the ""read_file ARGUMENTS = {'file': 'project-plan-form.htm'}"" command, which will cause an error: ""Command read_file returned: Error: 'utf-8' codec can't decode byte 0xa0 in position 1341: invalid start byte "".",['scripts/file_operations.py'],['incorrectness']
123,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,exceeding llm content limit,case1,"AutoGPT incorrectly interprets the ""429 Too Many Requests"" error as rate limiting, when it is actually due to insufficient API quota from OpenAI's new prepay billing method.",ST,scripts/config.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh --continuous"" to start AutoGPT in continuous mode.
3.Simulate API Quota Depletion:Ensure that your OpenAI API quota is depleted. This can be done by using up your available credits or not having sufficient pre-paid balance on your OpenAI account.
4.Allow AutoGPT to make several API requests to OpenAI, which will result in ""429 Too Many Requests"" errors due to the depleted API quota.
",['scripts/config.py'],['fail-stops']
124,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,unnecessary llm output,case1,Failure: command list_files and read_file returned too much output.,"IC,UI","scripts/chat.py
scripts/agent_manager.py","1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.5.0)
2.Create an AI agent.
3.Start AutoGPT. Authorize these commands and observe their outputs: 
(1) list_files ARGUMENTS = {'directory': '....\auto_gpt_workspace'} --> SYSTEM: Failure: command list_files returned too much output. Do not execute this command again with the same arguments.
(2)read_file ARGUMENTS = {'filename': '...smoketests_basic_qemu.yml'} --> SYSTEM: Failure: command read_file returned too much output. Do not execute this command again with the same arguments.
","['scripts/agent_manager.py', 'scripts/chat.py']","['incorrectness', 'unfriendly user interface']"
125,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,knowledge misalignment,case1,Failing to use pre-seeded data and/or chunk a large JSON file,"ST,IC",scripts/chat.py,"1.(Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.Started a fresh redis server in docker and pre-seeded the issues_data.json (see https://github.com/Significant-Gravitas/AutoGPT/issues/2076) file to redis with:
""python data_ingestion.py --f issues_data.json --init --overlap 300 --max_length 3000""
3.Start Autogpt with: 'python -m autogpt'
  ai_goals:
    - Read design.txt and follow its design specifications.
    - Read advice.txt and obey it every 10 minutes.
    - Use the information saved in your memory to determine the most frequently asked questions from the repos issues posts.
    - Determine the best answer to the most frequently asked questions from the issues comments.
    - Write a FAQ and answer the most frequently asked questions.
  ai_name: GitHubIssuesFAQ-Ai
  ai_role: an AI designed to autonomously manage GitHub issues to make it easier for users to find solutions to their issues.

  advice.txt contains:
    1.Use the data saved in your memory as it already has all the JSON data from the repos you are watching.

4.Used a design.txt file to tell it how it's supposed to work (the content of design.txt see: https://github.com/Significant-Gravitas/AutoGPT/issues/2076)
5.Auto-GPT failed to use pre-seeded data at all and went ahead and downloaded the main repo to /Auto-GPT/auto_gpt_workspace folder to gather data.",['scripts/chat.py'],"['incorrectness', 'fail-stops']"
126,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,conflicting knowledge entries,/,AutoGPT overwrites same text file with each action instead of appending to the end.,IC,"scripts/agent_manager.py
scripts/memory.py
scripts/commands.py","1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.(use RedisMemory)
2.Create an AI agent with a specific role and goals. (Role: an AI agent that specializes in Cisco ACI fabrics and provides expert guidance on the usage of VxLAN technology to enable efficient communication between endpoints in a data center network. Goals: Explain the benefits of VxLAN technology in Cisco ACI fabrics, including increased scalability, flexibility, and network virtualization.)
3.Configure the memory type to RedisMemory.
4.Perform an action that uses the write_to_file command, specifying a file and some text to write.
5.Perform an action that uses the append_to_file command, specifying the same file and additional text to append.
6. Check the contents of the file after each action to see if the text is being overwritten or appended correctly.","['scripts/commands.py', 'scripts/agent_manager.py']",['incorrectness']
127,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,imprecise knowledge retrieval,/,Add Recency and Importance for Memory Retrieval,"IC,SL","scripts/agent_manager.py
scripts/chat.py",The user did not provide specific examples. We can observe AutoGPT's memory performance in its behavior.,"['scripts/agent_manager.py', 'scripts/chat.py']","['incorrectness', 'slower execution']"
128,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,absence of final output,/,"aught in error loop ""No Text to summary""","IC,ST",scripts/agent_manager.py,"1.(MacOS, Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT in continuous mode.
3.Let Auto GPT execute ""browse_website"" command  to collect information from the web about a specific topic. The webpage you directed AutoGPT to browse has no text to summarize or contains other page errors.
4.Observe if AutoGPT enters a loop that after a webpage browsing failure，it restarts the Google search, lands on the same page, and starts the search over, only to land on the page again.",['scripts/agent_manager.py'],"['incorrectness', 'fail-stops']"
129,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,low-frequency interactivity,/,"
If you do not interact with Auto-GPT frequently enough you will get an API error when you resume.","IC,UI",scripts/config.py,"1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.In manual mode, do not interact with Auto-GPT for ""a long time"" (3 hours for example).
3.Try to interact with Auto-GPT again and observe if you encounter any API errors or connection timeouts.",['scripts/config.py'],"['incorrectness', 'unfriendly user interface']"
130,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,privacy violation,/,"By default, AutoGPT can access the user's browser.",IS,scripts/commands.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
(Use default Settings)
2.(cli mode)Use the command: ""./autogpt.sh run --help "" to start AutoGPT.
3.Set up a task, which involves web browsing and searching.
4.Allow AutoGPT to process the task and check if AutoGPT accesses the browser without user consent.",['scripts/commands.py'],['insecure']
131,edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,inefficient memory management,/,Memory Feature seems to not work on gpt3only mode,IC,"scripts/config.py
scripts/agent_manager.py","1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
(Set API Keys for OpenAI, Pinecone, and Eleven Labs, then set the smart model to gpt-3.5-turbo)
2.(cli mode)Use the command: ""call python ./scripts/main.py --gpt3only --debug"" to start AutoGPT with the --gpt3only option.
3.Prompt GPT to be a developer, and give it the goal to load a design document text file into long term memory. and the additional goals to develop the project.
(Prompt: 
ai_goals:
- Load the design document file under `./designdocument.txt` into long term memory.
- Find out the currently created files in the unity project under `./UnityProject/Assets`,
  then improve the code according to the design document, solving any issues or bugs
  found.
- Find out what needs to be implemented next, then implement it, then do this step
  again until there is nothing left to implement.
- Double check and make sure everything is implemented in the Unity Project Files
  from your understanding of the project, then refine and criticize the code making
  sure everything is in working order.
- Shut Down.
ai_name: Unity-Dev-GPT
ai_role: An AI designed to build Video Games, Libraries, Editor Extensions, and Packages for Unity LTS 2021.)
4.Allow AutoGPT to process the task and check for any JSON format errors or issues with memory handling.","['scripts/agent_manager.py', 'scripts/config.py']",['incorrectness']
132,hlohaus/Agent-LLM,https://github.com/hlohaus/Agent-LLM/tree/d8a46dacea35c6224effd3e733d5c085bea1949a,unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,CustomPrompt.py,"1.In the UI, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?""",['CustomPrompt.py'],['incorrectness']
133,hlohaus/Agent-LLM,https://github.com/hlohaus/Agent-LLM/tree/d8a46dacea35c6224effd3e733d5c085bea1949a,missing llm input format validation,/,TypeError: Object of type bytes is not JSON serializable(pdf),IC,app.py,"click ""Interact"", choose ""Learning"", choose agent, method from file, choose a pdf and upload",['app.py'],['incorrectness']
134,hlohaus/Agent-LLM,https://github.com/hlohaus/Agent-LLM/tree/d8a46dacea35c6224effd3e733d5c085bea1949a,insufficient history management,/,Stuck creating memories ,CL,AgentLLM.py,"1.streamlit run Main.py

2.Run textgen with: python server.py --listen-port 7861 --wbits 4 --groupsize 128 --model llama-13b-4bit-128g --model_type llama --xformers --api
See that it is running:
Starting streaming server at ws://127.0.0.1:5005/api/v1/stream Starting API at http://127.0.0.1:5000/api Running on local URL:  http://127.0.0.1:7861

3.Create new agent with config:

{""commands"": {""Read Audio from File"": false, ""Read Audio"": false, ""Evaluate Code"": true, ""Analyze Pull Request"": false, ""Perform Automated Testing"": false, ""Run CI-CD Pipeline"": false, ""Improve Code"": false, ""Write Tests"": false, ""Create a new command"": false, ""Execute Python File"": false, ""Execute Shell"": false, ""Read File"": true, ""Write to File"": true, ""Append to File"": true, ""Delete File"": true, ""Search Files"": true, ""Clone Github Repository"": false, ""Google Search"": true, ""Searx Search"": false, ""Get Datetime"": false, ""Speak with TTS"": false, ""Scrape Text with Playwright"": false, ""Scrape Links with Playwright"": false, ""Is Valid URL"": false, ""Sanitize URL"": false, ""Check Local File Access"": false, ""Get Response"": true, ""Scrape Text"": true, ""Scrape Links"": true, ""Scrape Text with Selenium"": false, ""Ask AI Agent gpt4free"": false, ""Instruct AI Agent gpt4free"": false, ""Ask AI Agent Ooga"": false, ""Instruct AI Agent Ooga"": false}, ""settings"": {""provider"": ""oobabooga"", ""AI_MODEL"": ""gpt-3.5-turbo"", ""AI_TEMPERATURE"": ""0.4"", ""MAX_TOKENS"": ""4000"", ""embedder"": ""default"", ""AI_PROVIDER_URI"": ""http://127.0.0.1:5000"", ""HUGGINGFACE_AUDIO_TO_TEXT_MODEL"": ""facebook/wav2vec2-large-960h-lv60-self"", ""DISCORD_COMMAND_PREFIX"": ""/AGiXT"", ""WORKING_DIRECTORY"": ""./WORKSPACE"", ""WORKING_DIRECTORY_RESTRICTED"": ""True"", ""SEARXNG_INSTANCE_URL"": ""https://searx.work"", ""USE_BRIAN_TTS"": ""True"", ""ELEVENLABS_VOICE"": ""Josh"", ""SELENIUM_WEB_BROWSER"": ""chrome"", """": """"}}

4.Ask it to do anything or chat with it.
5.Behavior: Agent is unable to do anything, program is stuck trying to create memories.",['AgentLLM.py'],['slower execution']
135,hlohaus/Agent-LLM,https://github.com/hlohaus/Agent-LLM/tree/d8a46dacea35c6224effd3e733d5c085bea1949a,imprecise knowledge retrieval,/,Unable to retrieve data ,"CL,SL",commands/google.py,"1.Setup with docker.  (Local)
2.Run Gen and run Task Chain.",['commands/google.py'],['slower execution']
136,hlohaus/Agent-LLM,https://github.com/hlohaus/Agent-LLM/tree/d8a46dacea35c6224effd3e733d5c085bea1949a,resource contention,/,Playwright Sync API inside the asyncio loop error,ST,commands/web_playwright.py,"(Environment Type - Connection: Local;  Environment Type - Container: Using Docker)

1.Start an instruction using any of the playwright command.
2. Return this error:
COMMANDS:
{'scrape_text': {'url': 'REDACTED'}}

Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",['commands/web_playwright.py'],['fail-stops']
137,CloudDevStudios/Agent-LLM,https://github.com/CloudDevStudios/Agent-LLM/tree/f89aaebd761a4d016b8a61ee511330f5ed403fe9,unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,CustomPrompt.py,"1.In the UI, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?""",['CustomPrompt.py'],['incorrectness']
138,CloudDevStudios/Agent-LLM,https://github.com/CloudDevStudios/Agent-LLM/tree/f89aaebd761a4d016b8a61ee511330f5ed403fe9,missing llm input format validation,/,TypeError: Object of type bytes is not JSON serializable(pdf),IC,app.py,"click ""Interact"", choose ""Learning"", choose agent, method from file, choose a pdf and upload",['app.py'],['incorrectness']
139,CloudDevStudios/Agent-LLM,https://github.com/CloudDevStudios/Agent-LLM/tree/f89aaebd761a4d016b8a61ee511330f5ed403fe9,insufficient history management,/,Stuck creating memories ,CL,AgentLLM.py,"1.streamlit run Main.py

2.Run textgen with: python server.py --listen-port 7861 --wbits 4 --groupsize 128 --model llama-13b-4bit-128g --model_type llama --xformers --api
See that it is running:
Starting streaming server at ws://127.0.0.1:5005/api/v1/stream Starting API at http://127.0.0.1:5000/api Running on local URL:  http://127.0.0.1:7861

3.Create new agent with config:

{""commands"": {""Read Audio from File"": false, ""Read Audio"": false, ""Evaluate Code"": true, ""Analyze Pull Request"": false, ""Perform Automated Testing"": false, ""Run CI-CD Pipeline"": false, ""Improve Code"": false, ""Write Tests"": false, ""Create a new command"": false, ""Execute Python File"": false, ""Execute Shell"": false, ""Read File"": true, ""Write to File"": true, ""Append to File"": true, ""Delete File"": true, ""Search Files"": true, ""Clone Github Repository"": false, ""Google Search"": true, ""Searx Search"": false, ""Get Datetime"": false, ""Speak with TTS"": false, ""Scrape Text with Playwright"": false, ""Scrape Links with Playwright"": false, ""Is Valid URL"": false, ""Sanitize URL"": false, ""Check Local File Access"": false, ""Get Response"": true, ""Scrape Text"": true, ""Scrape Links"": true, ""Scrape Text with Selenium"": false, ""Ask AI Agent gpt4free"": false, ""Instruct AI Agent gpt4free"": false, ""Ask AI Agent Ooga"": false, ""Instruct AI Agent Ooga"": false}, ""settings"": {""provider"": ""oobabooga"", ""AI_MODEL"": ""gpt-3.5-turbo"", ""AI_TEMPERATURE"": ""0.4"", ""MAX_TOKENS"": ""4000"", ""embedder"": ""default"", ""AI_PROVIDER_URI"": ""http://127.0.0.1:5000"", ""HUGGINGFACE_AUDIO_TO_TEXT_MODEL"": ""facebook/wav2vec2-large-960h-lv60-self"", ""DISCORD_COMMAND_PREFIX"": ""/AGiXT"", ""WORKING_DIRECTORY"": ""./WORKSPACE"", ""WORKING_DIRECTORY_RESTRICTED"": ""True"", ""SEARXNG_INSTANCE_URL"": ""https://searx.work"", ""USE_BRIAN_TTS"": ""True"", ""ELEVENLABS_VOICE"": ""Josh"", ""SELENIUM_WEB_BROWSER"": ""chrome"", """": """"}}

4.Ask it to do anything or chat with it.
5.Behavior: Agent is unable to do anything, program is stuck trying to create memories.",['AgentLLM.py'],['slower execution']
140,CloudDevStudios/Agent-LLM,https://github.com/CloudDevStudios/Agent-LLM/tree/f89aaebd761a4d016b8a61ee511330f5ed403fe9,imprecise knowledge retrieval,/,Unable to retrieve data ,"CL,SL",commands/google.py,"1.Setup with docker.  (Local)
2.Run Gen and run Task Chain.",['commands/google.py'],['slower execution']
141,CloudDevStudios/Agent-LLM,https://github.com/CloudDevStudios/Agent-LLM/tree/f89aaebd761a4d016b8a61ee511330f5ed403fe9,resource contention,/,Playwright Sync API inside the asyncio loop error,ST,commands/web_playwright.py,"(Environment Type - Connection: Local;  Environment Type - Container: Using Docker)

1.Start an instruction using any of the playwright command.
2. Return this error:
COMMANDS:
{'scrape_text': {'url': 'REDACTED'}}

Error: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",['commands/web_playwright.py'],['fail-stops']
142,ChuloAI/BrainChulo,https://github.com/ChuloAI/BrainChulo/tree/f2d6753177ef9940dcb6994da03fbf5fd323a3b3,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,"app/main.py
app/conversations/document_based.py/ __init__(self)
app/prompt_templates/document_based_conversation.py","

""1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk","['app/main.py', 'app/prompt_templates/document_based_conversation.py', 'app/conversations/document_based.py']",['fail-stops']
143,daveshap/ChromaDB_Chatbot_Public,https://github.com/daveshap/ChromaDB_Chatbot_Public/tree/ad7df3a7391c07ab59298e48ac05c24c8698698b,unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,chat.py,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?""",['chat.py'],['incorrectness']
144,daveshap/ChromaDB_Chatbot_Public,https://github.com/daveshap/ChromaDB_Chatbot_Public/tree/ad7df3a7391c07ab59298e48ac05c24c8698698b,missing llm input format validation,/,The analysis of PPT documents needs optimization,IC,chat.py,Upload the pptx file.,['chat.py'],['incorrectness']
145,daveshap/ChromaDB_Chatbot_Public,https://github.com/daveshap/ChromaDB_Chatbot_Public/tree/ad7df3a7391c07ab59298e48ac05c24c8698698b,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,chat.py,"

""1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk",['chat.py'],['fail-stops']
146,AgentValley/chromadb-chatbot,https://github.com/AgentValley/chromadb-chatbot/tree/48c10aa15ae4c0896fc282c4f1c4efdfccbd53bf,unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,"routes/message.py
tools/chat_openai.py","1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?""","['routes/message.py', 'tools/chat_openai.py']",['incorrectness']
147,AgentValley/chromadb-chatbot,https://github.com/AgentValley/chromadb-chatbot/tree/48c10aa15ae4c0896fc282c4f1c4efdfccbd53bf,missing llm input format validation,/,The analysis of PPT documents needs optimization,IC,"routes/message.py
tools/chat_openai.py",Upload the pptx file.,"['routes/message.py', 'tools/chat_openai.py']",['incorrectness']
148,AgentValley/chromadb-chatbot,https://github.com/AgentValley/chromadb-chatbot/tree/48c10aa15ae4c0896fc282c4f1c4efdfccbd53bf,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,"chatbot/runner.py
const.py
tools/load_data.py
tools/chat_openai.py","

""1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk","['const.py', 'tools/load_data.py', 'tools/chat_openai.py', 'chatbot/runner.py']",['fail-stops']
149,edrickdch/chat-pdf,https://github.com/edrickdch/chat-pdf/tree/bf5343fef116a360424245b1c154edc2bac07bfd,unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,src/single-pdf.py,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?""",['src/single-pdf.py'],['incorrectness']
150,edrickdch/chat-pdf,https://github.com/edrickdch/chat-pdf/tree/bf5343fef116a360424245b1c154edc2bac07bfd,missing llm input format validation,/,The analysis of PPT documents needs optimization,IC,src/single-pdf.py,Upload the pptx file.,['src/single-pdf.py'],['incorrectness']
151,edrickdch/chat-pdf,https://github.com/edrickdch/chat-pdf/tree/bf5343fef116a360424245b1c154edc2bac07bfd,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,src/single-pdf.py,"

""1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk",['src/single-pdf.py'],['fail-stops']
152,Gamma-Software/AppifyAi,https://github.com/Gamma-Software/AppifyAi/tree/6c6a116d2530cbf4cb83809a931ca0a1f86c23f2,unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,"generative_app/core/chains/prompt.py
generative_app/core/chains/conversational_retrieval_over_code.py
generative_app/core/chains/llm.py","1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?""","['generative_app/core/chains/conversational_retrieval_over_code.py', 'generative_app/core/chains/llm.py', 'generative_app/core/chains/prompt.py']",['incorrectness']
153,yujiosaka/ChatIQ,https://github.com/yujiosaka/ChatIQ/tree/def21481b0c132173b51d1d7a314b103db324ca2,unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,"chatiq/prompt.py
chatiq/chat_chain.py","1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?""","['chatiq/chat_chain.py', 'chatiq/prompt.py']",['incorrectness']
154,yujiosaka/ChatIQ,https://github.com/yujiosaka/ChatIQ/tree/def21481b0c132173b51d1d7a314b103db324ca2,missing llm input format validation,/,The analysis of PPT documents needs optimization,IC,"chatiq/prompt.py
chatiq/chat_chain.py",Upload the pptx file.,"['chatiq/chat_chain.py', 'chatiq/prompt.py']",['incorrectness']
155,yujiosaka/ChatIQ,https://github.com/yujiosaka/ChatIQ/tree/def21481b0c132173b51d1d7a314b103db324ca2,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,"chatiq/text_processor.py
chatiq/chatiq.py","

""1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk","['chatiq/chatiq.py', 'chatiq/text_processor.py']",['fail-stops']
156,labring/FastGPT,https://github.com/labring/FastGPT/tree/05bf1b22653f8699b85098db3e86a7f29bdc2895,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,"projects/app/src/pages/api/core/ai/token.ts
files/models/Baichuan2/openai_api.py
python/ocr/surya/app.py","

""1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk",['files/models/Baichuan2/openai_api.py'],['fail-stops']
157,c121914yu/FastGPT,https://github.com/c121914yu/FastGPT/tree/2ae8d43216d4e6fb739143c3cc12285fed048596,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,"projects/app/src/pages/api/core/ai/token.ts
files/models/ChatGLM2/openai_api.py
python/bge-rerank/bge-reranker-base/app.py","

""1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk",['files/models/ChatGLM2/openai_api.py'],['fail-stops']
158,Abonia1/Context-Based-LLMChatbot,https://github.com/Abonia1/Context-Based-LLMChatbot/tree/f21f7e157157d235e0b9ddd2fc997a7d33096da1,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,"chat.py
Notebook/GPT-3_customvectorsearch.ipynb","

1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk",['chat.py'],['fail-stops']
159,Abonia1/Context-Based-LLMChatbot,https://github.com/Abonia1/Context-Based-LLMChatbot/tree/f21f7e157157d235e0b9ddd2fc997a7d33096da1,missing llm input format validation,case1,The analysis of PPT documents needs optimization,IC,"chat.py
app.py","1. Use app online
2. Create a new knowledge base.
3. In the ""Dataset"" interface, select the ""Create/Import"" tab and choose ""Text Dataset.""
4. Upload the pptx file.
5. After parsing the pptx file, the order is chaotic.","['app.py', 'chat.py']",['incorrectness']
160,Abonia1/Context-Based-LLMChatbot,https://github.com/Abonia1/Context-Based-LLMChatbot/tree/f21f7e157157d235e0b9ddd2fc997a7d33096da1,knowledge misalignment,case1,"During file segmentation, if the number of characters under a level 3 heading (###) is less than 29, the level 3 heading will be lost, and its content will be directly included in the next segment.",IC,chat.py,"1.Upload a .docx file (containing level 3 headings) to your knowledge base.
2.In ""Data Processing,"" select ""Direct Segmentation"" and ""Automatic.""
3.In the segmentation results, if a level 3 heading (###) has fewer than 29 characters, the heading is lost, and its content is directly merged into the next segment. If it has 29 or more characters, the issue doesn't occur.",['chat.py'],['incorrectness']
161,Abonia1/Context-Based-LLMChatbot,https://github.com/Abonia1/Context-Based-LLMChatbot/tree/f21f7e157157d235e0b9ddd2fc997a7d33096da1,imprecise knowledge retrieval,case1,"In ""knowledge base search test"", for Q&A based on Excel spreadsheets, if the Excel file is large, the answers may be inaccurate.",IC,"chat.py
app.py","1.Upload an xlsx file with around 10,000 rows to your knowledge base.
2.In ""Search Test,"" ask questions related to the content of this file.
3.In ""Knowledge Base Search Configuration,"" select different search modes to test the Q&A, but the test results are unsatisfactory, with inaccurate answers.","['app.py', 'chat.py']",['incorrectness']
162,Abonia1/Context-Based-LLMChatbot,https://github.com/Abonia1/Context-Based-LLMChatbot/tree/f21f7e157157d235e0b9ddd2fc997a7d33096da1,unclear context in prompt,/,"In ""workflow"", the knowledge base reference accessed by the HTTP module does not display the referenced content in the conversation.",IC,"config.py
chat.py","1.(A conversational application) IN ""workflow"" , Integrate knowledge base citations into the HTTP module.
2.During debugging, when the bot answers questions related to the knowledge base, it does not cite references.","['config.py', 'chat.py']",['incorrectness']
163,h2oai/h2ogpt,https://github.com/h2oai/h2ogpt/tree/15f3a2d564541020f78cfc83bc90722dcda8a960,exceeding llm content limit,/,Requested tokens exceed context window of 2048,ST,"src/gpt4all_llm.py
openai_server/server.py","

1. Set up the application according to the README.md of this project
2. Upload a text document in the application's chat UI. Wait for multiple rounds of processing, and we will receive the following error:
‘...
Regarding completion_chunk",['src/gpt4all_llm.py'],['fail-stops']
164,h2oai/h2ogpt,https://github.com/h2oai/h2ogpt/tree/15f3a2d564541020f78cfc83bc90722dcda8a960,inefficient memory management,case1,Processing of large PDFS (100k) is slow,SL,"models/gpu_mem_track.py
src/utils.py","1. Set up h2ogpt: Ensure the project is correctly set up in your local environment.
2. Configure the system to handle large PDFs.
3. Run h2ogpt: Execute `python app.py` or the relevant command to start the server.
4. Upload a large PDF document (around 100k pages or similar in size) for processing.
5. Monitor the processing time.
6. Observe if the processing is slow and note the time taken to process the large PDF.(for example, ValueError: invalid literal for int() with base 10: 'some_value')","['src/utils.py', 'models/gpu_mem_track.py']",['slower execution']
